Course Name,Course Level,Category,Major Subject
Electronics & Communication,Diploma,Diploma / Polytechnic,Engineering Mathematics
Electronics & Communication,Diploma,Diploma / Polytechnic,Microprocessors & Microcontrollers
Electronics & Communication,Diploma,Diploma / Polytechnic,Signals & Systems
Electronics & Communication,Diploma,Diploma / Polytechnic,VLSI Design
Electronics Engineering,Diploma,Diploma / Polytechnic,Analog Electronics
Electronics Engineering,Diploma,Diploma / Polytechnic,Communication Systems
Electronics Engineering,Diploma,Diploma / Polytechnic,Control Systems
Electronics Engineering,Diploma,Diploma / Polytechnic,Digital Electronics
Electronics Engineering,Diploma,Diploma / Polytechnic,Electronic Devices
Electronics Engineering,Diploma,Diploma / Polytechnic,Embedded Systems
Electronics Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Electronics Engineering,Diploma,Diploma / Polytechnic,Microprocessors & Microcontrollers
Electronics Engineering,Diploma,Diploma / Polytechnic,Signals & Systems
Electronics Engineering,Diploma,Diploma / Polytechnic,VLSI Design
Fashion Design,Diploma,Diploma / Polytechnic,Computer-Aided Design
Fashion Design,Diploma,Diploma / Polytechnic,Design Drawing
Fashion Design,Diploma,Diploma / Polytechnic,Design Fundamentals
Fashion Design,Diploma,Diploma / Polytechnic,Design History
Fashion Design,Diploma,Diploma / Polytechnic,Design Project
Fashion Design,Diploma,Diploma / Polytechnic,Design Research
Fashion Design,Diploma,Diploma / Polytechnic,Materials & Processes
Fashion Design,Diploma,Diploma / Polytechnic,Typography
Fashion Design,Diploma,Diploma / Polytechnic,User Experience / Human-Centered Design
Fashion Design,Diploma,Diploma / Polytechnic,Visual Communication
Hotel Management,Diploma,Diploma / Polytechnic,Event Management
Hotel Management,Diploma,Diploma / Polytechnic,Food & Beverage Service
Hotel Management,Diploma,Diploma / Polytechnic,Food Production
Hotel Management,Diploma,Diploma / Polytechnic,Food Safety
Hotel Management,Diploma,Diploma / Polytechnic,Front Office Operations
Hotel Management,Diploma,Diploma / Polytechnic,Hospitality Marketing
Hotel Management,Diploma,Diploma / Polytechnic,Hotel Accounting
Hotel Management,Diploma,Diploma / Polytechnic,Hotel Management
Hotel Management,Diploma,Diploma / Polytechnic,Housekeeping
Hotel Management,Diploma,Diploma / Polytechnic,Tourism Management
Information Technology,Diploma,Diploma / Polytechnic,Computer Networks
Information Technology,Diploma,Diploma / Polytechnic,Data Structures & Algorithms
Information Technology,Diploma,Diploma / Polytechnic,Database Management Systems
Information Technology,Diploma,Diploma / Polytechnic,Java Programming
Information Technology,Diploma,Diploma / Polytechnic,Object-Oriented Programming
Information Technology,Diploma,Diploma / Polytechnic,Operating Systems
Information Technology,Diploma,Diploma / Polytechnic,Programming Fundamentals
Information Technology,Diploma,Diploma / Polytechnic,Python Programming
Information Technology,Diploma,Diploma / Polytechnic,Software Engineering
Information Technology,Diploma,Diploma / Polytechnic,Web Development
Instrumentation,Diploma,Diploma / Polytechnic,Analog Electronics
Instrumentation,Diploma,Diploma / Polytechnic,Communication Systems
Instrumentation,Diploma,Diploma / Polytechnic,Control Systems
Instrumentation,Diploma,Diploma / Polytechnic,Digital Electronics
Instrumentation,Diploma,Diploma / Polytechnic,Electronic Devices
Instrumentation,Diploma,Diploma / Polytechnic,Embedded Systems
Instrumentation,Diploma,Diploma / Polytechnic,Engineering Mathematics
Instrumentation,Diploma,Diploma / Polytechnic,Microprocessors & Microcontrollers
Instrumentation,Diploma,Diploma / Polytechnic,Signals & Systems
Instrumentation,Diploma,Diploma / Polytechnic,VLSI Design
Interior Design,Diploma,Diploma / Polytechnic,Computer-Aided Design
Interior Design,Diploma,Diploma / Polytechnic,Design Drawing
Interior Design,Diploma,Diploma / Polytechnic,Design Fundamentals
Interior Design,Diploma,Diploma / Polytechnic,Design History
Interior Design,Diploma,Diploma / Polytechnic,Design Project
Interior Design,Diploma,Diploma / Polytechnic,Design Research
Interior Design,Diploma,Diploma / Polytechnic,Materials & Processes
Interior Design,Diploma,Diploma / Polytechnic,Typography
Interior Design,Diploma,Diploma / Polytechnic,User Experience / Human-Centered Design
Interior Design,Diploma,Diploma / Polytechnic,Visual Communication
Machine Learning,Diploma,Diploma / Polytechnic,AI Ethics
Machine Learning,Diploma,Diploma / Polytechnic,Computer Vision
Machine Learning,Diploma,Diploma / Polytechnic,Data Structures & Algorithms
Machine Learning,Diploma,Diploma / Polytechnic,Database Management Systems
Machine Learning,Diploma,Diploma / Polytechnic,Deep Learning
Machine Learning,Diploma,Diploma / Polytechnic,Generative AI
Machine Learning,Diploma,Diploma / Polytechnic,Java Programming
Machine Learning,Diploma,Diploma / Polytechnic,Large Language Models
Machine Learning,Diploma,Diploma / Polytechnic,Linear Algebra
Machine Learning,Diploma,Diploma / Polytechnic,MLOps
Machine Learning,Diploma,Diploma / Polytechnic,Machine Learning
Machine Learning,Diploma,Diploma / Polytechnic,Natural Language Processing
Machine Learning,Diploma,Diploma / Polytechnic,Probability & Statistics
Machine Learning,Diploma,Diploma / Polytechnic,Python Programming
Machine Learning,Diploma,Diploma / Polytechnic,Retrieval-Augmented Generation (RAG)
Marine,Diploma,Diploma / Polytechnic,CAD/CAM
Marine,Diploma,Diploma / Polytechnic,Engineering Drawing
Marine,Diploma,Diploma / Polytechnic,Engineering Mathematics
Marine,Diploma,Diploma / Polytechnic,Engineering Mechanics
Marine,Diploma,Diploma / Polytechnic,Fluid Mechanics
Marine,Diploma,Diploma / Polytechnic,Machine Design
Marine,Diploma,Diploma / Polytechnic,Manufacturing Processes
Marine,Diploma,Diploma / Polytechnic,Strength of Materials
Marine,Diploma,Diploma / Polytechnic,Theory of Machines
Marine,Diploma,Diploma / Polytechnic,Thermodynamics
Mechanical Engineering,Diploma,Diploma / Polytechnic,CAD/CAM
Mechanical Engineering,Diploma,Diploma / Polytechnic,Engineering Drawing
Mechanical Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Mechanical Engineering,Diploma,Diploma / Polytechnic,Engineering Mechanics
Mechanical Engineering,Diploma,Diploma / Polytechnic,Fluid Mechanics
Mechanical Engineering,Diploma,Diploma / Polytechnic,Machine Design
Mechanical Engineering,Diploma,Diploma / Polytechnic,Manufacturing Processes
Mechanical Engineering,Diploma,Diploma / Polytechnic,Strength of Materials
Mechanical Engineering,Diploma,Diploma / Polytechnic,Theory of Machines
Mechanical Engineering,Diploma,Diploma / Polytechnic,Thermodynamics
Mechatronics,Diploma,Diploma / Polytechnic,CAD/CAM
Mechatronics,Diploma,Diploma / Polytechnic,Engineering Drawing
Mechatronics,Diploma,Diploma / Polytechnic,Engineering Mathematics
Mechatronics,Diploma,Diploma / Polytechnic,Engineering Mechanics
Mechatronics,Diploma,Diploma / Polytechnic,Fluid Mechanics
Mechatronics,Diploma,Diploma / Polytechnic,Machine Design
Mechatronics,Diploma,Diploma / Polytechnic,Manufacturing Processes
Mechatronics,Diploma,Diploma / Polytechnic,Strength of Materials
Mechatronics,Diploma,Diploma / Polytechnic,Theory of Machines
Mechatronics,Diploma,Diploma / Polytechnic,Thermodynamics
Mining,Diploma,Diploma / Polytechnic,CAD/CAM
Mining,Diploma,Diploma / Polytechnic,Engineering Drawing
Mining,Diploma,Diploma / Polytechnic,Engineering Mathematics
Mining,Diploma,Diploma / Polytechnic,Engineering Mechanics
Mining,Diploma,Diploma / Polytechnic,Fluid Mechanics
Mining,Diploma,Diploma / Polytechnic,Machine Design
Mining,Diploma,Diploma / Polytechnic,Manufacturing Processes
Mining,Diploma,Diploma / Polytechnic,Strength of Materials
Mining,Diploma,Diploma / Polytechnic,Theory of Machines
Mining,Diploma,Diploma / Polytechnic,Thermodynamics
Paramedical,Diploma,Diploma / Polytechnic,Academic Writing
Paramedical,Diploma,Diploma / Polytechnic,Communication Skills
Paramedical,Diploma,Diploma / Polytechnic,Core Subject Studies
Paramedical,Diploma,Diploma / Polytechnic,History / Theory of the Discipline
Paramedical,Diploma,Diploma / Polytechnic,Indian Constitution
Paramedical,Diploma,Diploma / Polytechnic,Indian Society & Culture
Paramedical,Diploma,Diploma / Polytechnic,Research Methodology
Paramedical,Diploma,Diploma / Polytechnic,Social Science Research
Paramedical,Diploma,Diploma / Polytechnic,Statistics / Data Analysis
Petroleum,Diploma,Diploma / Polytechnic,CAD/CAM
Petroleum,Diploma,Diploma / Polytechnic,Engineering Drawing
Petroleum,Diploma,Diploma / Polytechnic,Engineering Mathematics
Petroleum,Diploma,Diploma / Polytechnic,Engineering Mechanics
Petroleum,Diploma,Diploma / Polytechnic,Fluid Mechanics
Petroleum,Diploma,Diploma / Polytechnic,Machine Design
Petroleum,Diploma,Diploma / Polytechnic,Manufacturing Processes
Petroleum,Diploma,Diploma / Polytechnic,Strength of Materials
Petroleum,Diploma,Diploma / Polytechnic,Theory of Machines
Petroleum,Diploma,Diploma / Polytechnic,Thermodynamics
Pharmacy,Diploma,Diploma / Polytechnic,Biochemistry
Pharmacy,Diploma,Diploma / Polytechnic,Clinical Pharmacy
Pharmacy,Diploma,Diploma / Polytechnic,Hospital Pharmacy
Pharmacy,Diploma,Diploma / Polytechnic,Medicinal Chemistry
Pharmacy,Diploma,Diploma / Polytechnic,Microbiology
Pharmacy,Diploma,Diploma / Polytechnic,Pharmaceutical Analysis
Pharmacy,Diploma,Diploma / Polytechnic,Pharmaceutical Chemistry
Pharmacy,Diploma,Diploma / Polytechnic,Pharmaceutics
Pharmacy,Diploma,Diploma / Polytechnic,Pharmacognosy
Pharmacy,Diploma,Diploma / Polytechnic,Pharmacology
Robotics,Diploma,Diploma / Polytechnic,Analog Electronics
Robotics,Diploma,Diploma / Polytechnic,Communication Systems
Robotics,Diploma,Diploma / Polytechnic,Control Systems
Robotics,Diploma,Diploma / Polytechnic,Digital Electronics
Robotics,Diploma,Diploma / Polytechnic,Electronic Devices
Robotics,Diploma,Diploma / Polytechnic,Embedded Systems
Robotics,Diploma,Diploma / Polytechnic,Engineering Mathematics
Robotics,Diploma,Diploma / Polytechnic,Microprocessors & Microcontrollers
Robotics,Diploma,Diploma / Polytechnic,Signals & Systems
Robotics,Diploma,Diploma / Polytechnic,VLSI Design
M.Sc Nursing,PG,Medical / Healthcare PG,Advanced Core Subject
M.Sc Nursing,PG,Medical / Healthcare PG,Anatomy & Physiology
M.Sc Nursing,PG,Medical / Healthcare PG,Child Health Nursing
M.Sc Nursing,PG,Medical / Healthcare PG,Community Health Nursing
M.Sc Nursing,PG,Medical / Healthcare PG,Medical-Surgical Nursing
M.Sc Nursing,PG,Medical / Healthcare PG,Mental Health Nursing
M.Sc Nursing,PG,Medical / Healthcare PG,Nursing Foundations
M.Sc Nursing,PG,Medical / Healthcare PG,Nutrition
M.Sc Nursing,PG,Medical / Healthcare PG,Obstetric Nursing
M.Sc Nursing,PG,Medical / Healthcare PG,Pathology
M.Sc Nursing,PG,Medical / Healthcare PG,Pharmacology
M.Sc Nursing,PG,Medical / Healthcare PG,Project / Dissertation
M.Sc Nursing,PG,Medical / Healthcare PG,Research Methodology
M.Sc Nursing,PG,Medical / Healthcare PG,Seminar
MD Anatomy,PG,Medical / Healthcare PG,Advanced Core Subject
MD Anatomy,PG,Medical / Healthcare PG,Anatomy
MD Anatomy,PG,Medical / Healthcare PG,Biochemistry
MD Anatomy,PG,Medical / Healthcare PG,Clinical Skills
MD Anatomy,PG,Medical / Healthcare PG,Community Medicine
MD Anatomy,PG,Medical / Healthcare PG,Forensic Medicine
MD Anatomy,PG,Medical / Healthcare PG,General Medicine
MD Anatomy,PG,Medical / Healthcare PG,General Surgery
MD Anatomy,PG,Medical / Healthcare PG,Microbiology
MD Anatomy,PG,Medical / Healthcare PG,Pathology
MD Anatomy,PG,Medical / Healthcare PG,Pharmacology
MD Anatomy,PG,Medical / Healthcare PG,Physiology
MD Anatomy,PG,Medical / Healthcare PG,Project / Dissertation
MD Anatomy,PG,Medical / Healthcare PG,Research Methodology
MD Anatomy,PG,Medical / Healthcare PG,Seminar
MD Anesthesiology,PG,Medical / Healthcare PG,Advanced Core Subject
MD Anesthesiology,PG,Medical / Healthcare PG,Anatomy
MD Anesthesiology,PG,Medical / Healthcare PG,Biochemistry
MD Anesthesiology,PG,Medical / Healthcare PG,Clinical Skills
MD Anesthesiology,PG,Medical / Healthcare PG,Community Medicine
MD Anesthesiology,PG,Medical / Healthcare PG,Forensic Medicine
MD Anesthesiology,PG,Medical / Healthcare PG,General Medicine
MD Anesthesiology,PG,Medical / Healthcare PG,General Surgery
MD Anesthesiology,PG,Medical / Healthcare PG,Microbiology
MD Anesthesiology,PG,Medical / Healthcare PG,Pathology
MD Anesthesiology,PG,Medical / Healthcare PG,Pharmacology
MD Anesthesiology,PG,Medical / Healthcare PG,Physiology
MD Anesthesiology,PG,Medical / Healthcare PG,Project / Dissertation
MD Anesthesiology,PG,Medical / Healthcare PG,Research Methodology
MD Anesthesiology,PG,Medical / Healthcare PG,Seminar
MD Biochemistry,PG,Medical / Healthcare PG,Advanced Core Subject
MD Biochemistry,PG,Medical / Healthcare PG,Biochemistry
MD Biochemistry,PG,Medical / Healthcare PG,Bioinformatics
MD Biochemistry,PG,Medical / Healthcare PG,Bioprocess Engineering
MD Biochemistry,PG,Medical / Healthcare PG,Biostatistics
MD Biochemistry,PG,Medical / Healthcare PG,Cell Biology
MD Biochemistry,PG,Medical / Healthcare PG,Ecology
MD Biochemistry,PG,Medical / Healthcare PG,Genetics
MD Biochemistry,PG,Medical / Healthcare PG,Immunology
MD Biochemistry,PG,Medical / Healthcare PG,Microbiology
MD Biochemistry,PG,Medical / Healthcare PG,Molecular Biology
MD Biochemistry,PG,Medical / Healthcare PG,Project / Dissertation
MD Biochemistry,PG,Medical / Healthcare PG,Research Methodology
MD Biochemistry,PG,Medical / Healthcare PG,Seminar
MD Community Medicine,PG,Medical / Healthcare PG,Advanced Core Subject
MD Community Medicine,PG,Medical / Healthcare PG,Anatomy
MD Community Medicine,PG,Medical / Healthcare PG,Biochemistry
MD Community Medicine,PG,Medical / Healthcare PG,Clinical Skills
MD Community Medicine,PG,Medical / Healthcare PG,Community Medicine
MD Community Medicine,PG,Medical / Healthcare PG,Forensic Medicine
MD Community Medicine,PG,Medical / Healthcare PG,General Medicine
MD Community Medicine,PG,Medical / Healthcare PG,General Surgery
MD Community Medicine,PG,Medical / Healthcare PG,Microbiology
MD Community Medicine,PG,Medical / Healthcare PG,Pathology
MD Community Medicine,PG,Medical / Healthcare PG,Pharmacology
MD Community Medicine,PG,Medical / Healthcare PG,Physiology
MD Community Medicine,PG,Medical / Healthcare PG,Project / Dissertation
MD Community Medicine,PG,Medical / Healthcare PG,Research Methodology
MD Community Medicine,PG,Medical / Healthcare PG,Seminar
MD Dermatology,PG,Medical / Healthcare PG,Advanced Core Subject
MD Dermatology,PG,Medical / Healthcare PG,Anatomy
MD Dermatology,PG,Medical / Healthcare PG,Biochemistry
MD Dermatology,PG,Medical / Healthcare PG,Clinical Skills
MD Dermatology,PG,Medical / Healthcare PG,Community Medicine
MD Dermatology,PG,Medical / Healthcare PG,Forensic Medicine
MD Dermatology,PG,Medical / Healthcare PG,General Medicine
MD Dermatology,PG,Medical / Healthcare PG,General Surgery
MD Dermatology,PG,Medical / Healthcare PG,Microbiology
MD Dermatology,PG,Medical / Healthcare PG,Pathology
MD Dermatology,PG,Medical / Healthcare PG,Pharmacology
MD Dermatology,PG,Medical / Healthcare PG,Physiology
MD Dermatology,PG,Medical / Healthcare PG,Project / Dissertation
MD Dermatology,PG,Medical / Healthcare PG,Research Methodology
MD Dermatology,PG,Medical / Healthcare PG,Seminar
MD General Medicine,PG,Medical / Healthcare PG,Advanced Core Subject
MD General Medicine,PG,Medical / Healthcare PG,Anatomy
MD General Medicine,PG,Medical / Healthcare PG,Biochemistry
MD General Medicine,PG,Medical / Healthcare PG,Clinical Skills
MD General Medicine,PG,Medical / Healthcare PG,Community Medicine
MD General Medicine,PG,Medical / Healthcare PG,Forensic Medicine
MD General Medicine,PG,Medical / Healthcare PG,General Medicine
MD General Medicine,PG,Medical / Healthcare PG,General Surgery
MD General Medicine,PG,Medical / Healthcare PG,Microbiology
MD General Medicine,PG,Medical / Healthcare PG,Pathology
MD General Medicine,PG,Medical / Healthcare PG,Pharmacology
MD General Medicine,PG,Medical / Healthcare PG,Physiology
MD General Medicine,PG,Medical / Healthcare PG,Project / Dissertation
MD General Medicine,PG,Medical / Healthcare PG,Research Methodology
MD General Medicine,PG,Medical / Healthcare PG,Seminar
MD Microbiology,PG,Medical / Healthcare PG,Advanced Core Subject
MD Microbiology,PG,Medical / Healthcare PG,Biochemistry
MD Microbiology,PG,Medical / Healthcare PG,Bioinformatics
MD Microbiology,PG,Medical / Healthcare PG,Bioprocess Engineering
MD Microbiology,PG,Medical / Healthcare PG,Biostatistics
MD Microbiology,PG,Medical / Healthcare PG,Cell Biology
MD Microbiology,PG,Medical / Healthcare PG,Ecology
MD Microbiology,PG,Medical / Healthcare PG,Genetics
MD Microbiology,PG,Medical / Healthcare PG,Immunology
MD Microbiology,PG,Medical / Healthcare PG,Microbiology
MD Microbiology,PG,Medical / Healthcare PG,Molecular Biology
MD Microbiology,PG,Medical / Healthcare PG,Project / Dissertation
MD Microbiology,PG,Medical / Healthcare PG,Research Methodology
MD Microbiology,PG,Medical / Healthcare PG,Seminar
MD Pathology,PG,Medical / Healthcare PG,Advanced Core Subject
MD Pathology,PG,Medical / Healthcare PG,Anatomy
MD Pathology,PG,Medical / Healthcare PG,Biochemistry
MD Pathology,PG,Medical / Healthcare PG,Clinical Skills
MD Pathology,PG,Medical / Healthcare PG,Community Medicine
MD Pathology,PG,Medical / Healthcare PG,Forensic Medicine
MD Pathology,PG,Medical / Healthcare PG,General Medicine
MD Pathology,PG,Medical / Healthcare PG,General Surgery
MD Pathology,PG,Medical / Healthcare PG,Microbiology
MD Pathology,PG,Medical / Healthcare PG,Pathology
MD Pathology,PG,Medical / Healthcare PG,Pharmacology
MD Pathology,PG,Medical / Healthcare PG,Physiology
MD Pathology,PG,Medical / Healthcare PG,Project / Dissertation
MD Pathology,PG,Medical / Healthcare PG,Research Methodology
MD Pathology,PG,Medical / Healthcare PG,Seminar
MD Pediatrics,PG,Medical / Healthcare PG,Advanced Core Subject
MD Pediatrics,PG,Medical / Healthcare PG,Anatomy
MD Pediatrics,PG,Medical / Healthcare PG,Biochemistry
MD Pediatrics,PG,Medical / Healthcare PG,Clinical Skills
